ticker,name,requested_start,requested_end,historical_market_from_official_raw_ledger,finmind_expected_market,market_mapping_classification,finmind_delisting_date,yahoo_search_symbols,resolution_status,classification,accepted_provider_symbol,accepted_price_rows,accepted_coverage_start,accepted_coverage_end,source_quality,blocked_reason,future_data_violation_count,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2456,奇力新,2014-10-09,2020-12-11,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2022-01-05,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
2499,東貝,2014-11-06,2017-02-24,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2020-11-10,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
2809,京城銀,2014-10-09,2020-07-03,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2025-10-01,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
2823,中壽,2014-10-02,2020-12-11,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2021-12-30,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
2833,台壽保,2014-11-13,2015-03-13,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2015-10-15,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
2841,台開,2014-11-20,2017-02-10,TWSE,unknown,market_mapping_recovered_from_official_raw_ledger,2022-08-04,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
2856,元富證,2017-11-16,2018-03-16,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2018-10-01,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
2888,新光金,2014-10-02,2022-12-23,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2025-07-24,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
2928,紅馬-KY,2017-11-02,2018-03-02,TPEx,tpex,market_mapping_confirmed_by_official_raw_ledger,,,blocked,historical_symbol_not_currently_searchable,,0,,,blocked_no_authorized_free_adjusted_source,Historical TWSE/TPEx symbol is not currently searchable in Yahoo and no authorized free adjusted structured source was verified,0,False,False,False,False,False,False,False,True,False
3068,美磊,2016-05-17,2018-04-20,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
3144,新揚科,2016-12-22,2020-01-17,TPEx,tpex,market_mapping_confirmed_by_official_raw_ledger,,,blocked,historical_symbol_not_currently_searchable,,0,,,blocked_no_authorized_free_adjusted_source,Historical TWSE/TPEx symbol is not currently searchable in Yahoo and no authorized free adjusted structured source was verified,0,False,False,False,False,False,False,False,True,False
3202,樺晟,2016-05-17,2020-10-08,TPEx,tpex,market_mapping_confirmed_by_official_raw_ledger,2025-07-21,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
3299,帛漢,2016-05-17,2018-07-13,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
3428,光燿科,2016-07-14,2018-03-02,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
3452,益通,2014-12-03,2015-04-02,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
3454,晶睿,2016-03-31,2022-11-18,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2026-03-27,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
3474,華亞科,2014-09-11,2016-11-25,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2016-12-06,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
3514,昱晶,2016-02-09,2017-11-03,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2018-10-01,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
3519,綠能,2016-01-14,2017-10-13,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2019-05-02,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
3561,昇陽光電,2016-02-09,2017-10-20,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2018-10-01,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
3658,漢微科,2014-10-29,2016-11-11,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
3662,樂陞,2014-09-11,2016-08-12,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
3682,亞太電,2016-01-21,2021-01-08,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2023-12-15,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
3698,隆達,2014-10-16,2020-08-14,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2021-01-06,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
4141,龍燈-KY,2016-02-09,2016-06-08,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2022-05-03,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
4144,康聯-KY,2017-11-23,2018-03-30,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2020-10-30,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
4725,信昌化,2016-09-01,2018-10-12,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2021-01-18,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
4733,上緯,2014-11-20,2015-04-02,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2016-08-31,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
4803,VHQ-KY,2016-05-17,2019-08-02,TPEx,tpex,market_mapping_confirmed_by_official_raw_ledger,,,blocked,historical_symbol_not_currently_searchable,,0,,,blocked_no_authorized_free_adjusted_source,Historical TWSE/TPEx symbol is not currently searchable in Yahoo and no authorized free adjusted structured source was verified,0,False,False,False,False,False,False,False,True,False
4947,昂寶-KY,2014-10-16,2020-02-14,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
4984,科納-KY,2016-03-09,2017-02-03,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2018-09-01,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
5255,美桀,2017-11-02,2018-03-23,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
5264,鎧勝-KY,2014-09-25,2020-09-30,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2021-01-15,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
5281,大峽谷-KY,2017-12-21,2018-04-20,TPEx,tpex,market_mapping_confirmed_by_official_raw_ledger,,,blocked,historical_symbol_not_currently_searchable,,0,,,blocked_no_authorized_free_adjusted_source,Historical TWSE/TPEx symbol is not currently searchable in Yahoo and no authorized free adjusted structured source was verified,0,False,False,False,False,False,False,False,True,False
5305,敦南,2016-10-13,2020-09-30,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2020-11-30,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
5317,凱美,2017-09-21,2018-07-13,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
5349,先豐,2014-11-06,2019-05-03,TPEx,tpex,market_mapping_confirmed_by_official_raw_ledger,,,blocked,historical_symbol_not_currently_searchable,,0,,,blocked_no_authorized_free_adjusted_source,Historical TWSE/TPEx symbol is not currently searchable in Yahoo and no authorized free adjusted structured source was verified,0,False,False,False,False,False,False,False,True,False
5480,統盟,2016-05-17,2016-09-14,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
5505,和旺,2014-09-11,2015-01-16,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
5820,日盛金,2017-11-02,2022-09-30,TPEx,tpex,market_mapping_confirmed_by_official_raw_ledger,,,blocked,historical_symbol_not_currently_searchable,,0,,,blocked_no_authorized_free_adjusted_source,Historical TWSE/TPEx symbol is not currently searchable in Yahoo and no authorized free adjusted structured source was verified,0,False,False,False,False,False,False,False,True,False
6105,瑞傳,2016-03-31,2016-07-29,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
6107,華美,2016-03-17,2016-07-15,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
6238,勝麗,2015-12-24,2020-03-06,TPEx,tpex,market_mapping_confirmed_by_official_raw_ledger,,,blocked,historical_symbol_not_currently_searchable,,0,,,blocked_no_authorized_free_adjusted_source,Historical TWSE/TPEx symbol is not currently searchable in Yahoo and no authorized free adjusted structured source was verified,0,False,False,False,False,False,False,False,True,False
6251,定穎,2019-07-04,2022-07-01,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2022-08-25,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
6286,立錡,2014-10-16,2015-03-20,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2016-04-29,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
6288,聯嘉,2019-04-04,2020-10-23,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2025-08-15,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
6422,君耀-KY,2016-08-18,2017-08-04,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2018-09-28,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
6452,康友-KY,2015-12-17,2020-06-24,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2021-04-01,,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
6497,亞獅康-KY,2017-11-02,2018-03-02,TPEx,tpex,market_mapping_confirmed_by_official_raw_ledger,,,blocked,historical_symbol_not_currently_searchable,,0,,,blocked_no_authorized_free_adjusted_source,Historical TWSE/TPEx symbol is not currently searchable in Yahoo and no authorized free adjusted structured source was verified,0,False,False,False,False,False,False,False,True,False
6806,森崴能源,2022-08-18,2022-12-23,TWSE,twse,market_mapping_confirmed_by_official_raw_ledger,2026-06-23,6806.TW,blocked,delisted_or_merged_historical_symbol,,0,,,blocked_no_authorized_free_adjusted_source,Yahoo structured adjusted history unavailable after bounded correct-market retry; current or successor ticker must not inherit historical prices,0,False,False,False,False,False,False,False,True,False
8287,英格爾,2016-05-17,2016-09-14,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
8406,金可-KY,2014-11-13,2019-12-13,TPEx,tpex,market_mapping_confirmed_by_official_raw_ledger,,,blocked,historical_symbol_not_currently_searchable,,0,,,blocked_no_authorized_free_adjusted_source,Historical TWSE/TPEx symbol is not currently searchable in Yahoo and no authorized free adjusted structured source was verified,0,False,False,False,False,False,False,False,True,False
8925,偉盟,2014-11-27,2015-03-27,TPEx,unknown,market_mapping_recovered_from_official_raw_ledger,,,blocked,symbol_status_and_adjusted_source_unresolved,,0,,,blocked_no_authorized_free_adjusted_source,No current mapping or authorized free adjusted structured source verified; raw OHLC substitution prohibited,0,False,False,False,False,False,False,False,True,False
